		covid_count	covid_perc	noncovid_count	noncovid_perc	blm_count	blm_perc	nonblm_count	nonblm_perc	other_count	other_perc	all_count	all_perc	us_perc
party_score	Democrat	271526	56.47696522059267	154057	50.791761591238036	196774	61.37889946317559	228809	49.366012578344964	135326	49.66201090666216	425583	54.277730447248	30.0
party_score	Independent	58695	12.20846428564	40091	13.217786364490571	37477	11.690045509983186	61309	13.22754290769048	36384	13.352220599352647	98786	12.598905219338743	27.0
party_score	Republican	150552	31.31457049376733	109163	35.99045204427139	86338	26.93105502684122	173377	37.40644451396455	100784	36.98576849398519	259715	33.12336433341326	26.0
gender	Female	243133	52.33573845584246	154144	52.46544429733051	159921	51.78772089468622	237356	52.79693213869437	138665	52.48327075637377	397277	52.38598827741259	52.0
gender	Male	221431	47.66426154415753	139657	47.53455570266949	148880	48.212279105313776	212208	47.20306786130562	125543	47.51672924362623	361088	47.614011722587406	48.0
race	African-American	30219	6.482107119185056	24110	8.164633692066998	25413	8.196895804304072	28916	6.405039682627581	20393	7.682252426014104	54329	7.134574498121443	11.0
race	Asian	10457	2.243072045577885	5441	1.8425454964137924	7141	2.303310625999897	8757	1.9397196189227324	4844	1.824784521728648	15898	2.087751760038556	
race	Caucasian	403261	86.50124090769663	252551	85.5241146231942	261848	84.45837848996233	393964	87.26501084267161	228426	86.05041890181424	655812	86.12232087397192	64.0
race	Hispanic	21408	4.592109242778174	12547	4.248928201342373	15072	4.861433658461062	18883	4.182679635048299	11200	4.2191549635344465	33955	4.459026985288035	15.0
race	Native American	846	0.18147068476225411	649	0.21977798698264128	558	0.17998142127264283	937	0.2075502207297705	593	0.2233891869085649	1495	0.19632588258005043	
binned_age	18-29	134308	28.173587628692975	70928	23.55293000335389	97169	30.58533575911715	108067	23.48460647469038	62013	22.91905356760073	205236	26.384730394583077	21.0
binned_age	30-49	207641	43.55654100135091	142179	47.21311802034249	136332	42.91245144760118	213488	46.394196813723894	127675	47.18672156230828	349820	44.97216076435446	33.0
binned_age	50-64	102189	21.436033193767358	66420	22.055966766619182	63045	19.844317559443244	105564	22.94066641892729	60890	22.504009993569227	168609	21.676036402484257	26.0
binned_age	>65	32578	6.833838176188759	21616	7.177985209684436	21152	6.657895233838425	33042	7.18053029265844	19996	7.390214876521766	54194	6.9670724385781995	20.0
