	day	covid_rehyd	covid_sum	covid_mean	covid_median
0	2020-01-01	1402	56364805.0	40203.14194008559	104.5
1	2020-01-02	1843	35533908.0	19280.47097124254	56.0
2	2020-01-03	1579	6270383.0	3971.1101963267893	33.0
3	2020-01-04	1182	3206040.0	2712.3857868020305	30.0
4	2020-01-05	1044	4590362.0	4396.89846743295	27.0
5	2020-01-06	1284	5282559.0	4114.142523364486	17.0
6	2020-01-07	1622	2705680.0	1668.1134401972872	20.0
7	2020-01-08	1978	4963761.0	2509.484833164813	29.0
8	2020-01-09	2588	61697490.0	23839.833848531685	80.5
9	2020-01-10	2892	45616095.0	15773.200207468879	214.0
10	2020-01-11	1965	10973353.0	5584.403562340967	164.0
11	2020-01-12	1734	10062187.0	5802.8760092272205	145.0
12	2020-01-13	1751	7070277.0	4037.850942318675	25.0
13	2020-01-14	2214	19487913.0	8802.128726287263	44.0
14	2020-01-15	2102	24534720.0	11672.083729781161	20.0
15	2020-01-16	1988	4338308.0	2182.247484909457	17.0
16	2020-01-17	2143	4673632.0	2180.882874475035	21.0
17	2020-01-18	1578	2821606.0	1788.0899873257288	43.0
18	2020-01-19	1182	2500940.0	2115.85448392555	29.0
19	2020-01-20	2324	7689632.0	3308.7917383821	78.0
20	2020-01-21	3819	24483187.0	6410.889499869076	33.0
21	2020-01-22	4376	43885626.0	10028.707952468007	40.0
22	2020-01-23	7265	205377908.0	28269.498692360634	117.0
23	2020-01-24	7948	88247342.0	11103.08782083543	50.0
24	2020-01-25	7367	140609414.0	19086.38713180399	141.0
25	2020-01-26	8008	147016607.0	18358.71715784216	184.5
26	2020-01-27	8125	140356989.0	17274.70633846154	80.0
27	2020-01-28	8626	267597427.0	31022.191861813124	75.0
28	2020-01-29	10043	712666193.0	70961.48491486607	132.0
29	2020-01-30	12892	360352524.0	27951.638535525908	187.0
30	2020-01-31	11397	177434817.0	15568.554619636747	117.0
31	2020-02-01	6948	77174390.0	11107.42515831894	70.0
32	2020-02-02	7052	97123262.0	13772.442144072604	127.0
33	2020-02-03	6862	56563386.0	8242.988341591374	40.0
34	2020-02-04	6321	25415547.0	4020.811105837684	37.0
35	2020-02-05	6549	27715899.0	4232.081081081081	34.0
36	2020-02-06	6632	14956782.0	2255.2445717732207	39.0
37	2020-02-07	8372	122110472.0	14585.579550883898	89.0
38	2020-02-08	6434	147164565.0	22872.95073049425	122.0
39	2020-02-09	5513	49419281.0	8964.135860692908	134.0
40	2020-02-10	7629	72928234.0	9559.343819635602	172.0
41	2020-02-11	9097	87968908.0	9670.1009123887	125.0
42	2020-02-12	6432	66828640.0	10390.02487562189	37.0
43	2020-02-13	7271	58833590.0	8091.540365836886	43.0
44	2020-02-14	6918	41225617.0	5959.1814108123735	58.0
45	2020-02-15	5299	23495499.0	4433.949613134554	99.0
46	2020-02-16	5463	40331645.0	7382.69174446275	147.0
47	2020-02-17	6398	27006160.0	4221.031572366364	80.5
48	2020-02-18	6625	124432989.0	18782.33796226415	37.0
49	2020-02-19	5730	189438596.0	33060.8369982548	35.0
50	2020-02-20	5383	29275562.0	5438.521642206948	28.0
51	2020-02-21	7500	16947176.0	2259.6234666666664	49.5
52	2020-02-22	6793	28021863.0	4125.108641248344	101.0
53	2020-02-23	7804	23358721.0	2993.172860071758	146.0
54	2020-02-24	14937	246646889.0	16512.478342371294	323.0
55	2020-02-25	32936	559310961.0	16981.751305562302	1156.0
56	2020-02-26	46358	649052818.0	14000.880495275896	928.0
57	2020-02-27	79636	1618983926.0	20329.799663468784	2000.5
58	2020-02-28	80969	2349488002.0	29017.130037421728	2270.0
59	2020-02-29	72330	2007170738.0	27750.18302225909	2121.0
60	2020-03-01	47731	1386687535.0	29052.136661708322	2071.0
61	2020-03-02	56625	1896815631.0	33497.84778807947	652.0
62	2020-03-03	61794	2748702321.0	44481.702446839496	748.5
63	2020-03-04	55831	2939329518.0	52646.90795436227	656.0
64	2020-03-05	63332	3831938150.0	60505.56038021853	597.5
65	2020-03-06	71536	3896751304.0	54472.59147841646	488.0
66	2020-03-07	76132	4789040031.0	62904.42955655966	1339.0
67	2020-03-08	72987	3514582167.0	48153.53647909902	1582.0
68	2020-03-09	116948	5078710920.0	43427.08656838937	1212.0
69	2020-03-10	133274	4856544686.0	36440.30107898015	776.0
70	2020-03-11	164447	7110042968.0	43236.075866388564	595.0
71	2020-03-12	352885	29460402336.0	83484.42789010584	1686.0
72	2020-03-13	356219	31487669247.0	88394.13183182255	2096.0
73	2020-03-14	277142	26114132241.0	94226.54177641787	2636.0
74	2020-03-15	298073	19946486356.0	66918.12527803592	1972.0
75	2020-03-16	332207	45118291542.0	135813.7894204517	1296.0
76	2020-03-17	354992	46222803756.0	130208.0152679497	1699.0
77	2020-03-18	349209	30373588526.0	86978.25235317532	1248.0
78	2020-03-19	364701	29344473429.0	80461.73009945134	1334.0
79	2020-03-20	366383	26241822964.0	71624.01902926719	1495.0
80	2020-03-21	302604	22715237650.0	75065.88693473978	1495.0
81	2020-03-22	322974	18523598073.0	57353.217512864816	1872.0
82	2020-03-23	359141	15162373932.0	42218.443263230874	1247.0
83	2020-03-24	350586	10058457189.0	28690.413162533587	976.0
84	2020-03-25	290082	7601027655.0	26203.031056735683	543.0
85	2020-03-26	288977	7907250961.0	27362.90763970835	632.0
86	2020-03-27	294095	9701779433.0	32988.59019364491	728.0
87	2020-03-28	232443	9989302765.0	42975.2789501082	836.0
88	2020-03-29	233731	7517193930.0	32161.732632812935	1182.0
89	2020-03-30	245659	6624162692.0	26964.868748956887	536.0
90	2020-03-31	248634	6123228796.0	24627.479733262546	466.0
91	2020-04-01	257107	11545580215.0	44905.74046992108	560.0
92	2020-04-02	252143	7629706552.0	30259.442268871237	442.0
93	2020-04-03	242351	4480230523.0	18486.536152109955	413.0
94	2020-04-04	204509	4036675965.0	19738.378090939765	725.0
95	2020-04-05	190961	5188965816.0	27172.908688161457	810.0
96	2020-04-06	226078	5373707976.0	23769.2653685896	634.0
97	2020-04-07	226273	4656867234.0	20580.74641693883	476.0
98	2020-04-08	196620	3211507687.0	16333.575867154917	277.0
99	2020-04-09	189769	3431854598.0	18084.379419188594	294.0
100	2020-04-10	189467	3434680762.0	18128.121319279875	388.0
101	2020-04-11	154268	2519664878.0	16333.036520859803	479.0
102	2020-04-12	137421	2795342716.0	20341.452296228377	807.0
103	2020-04-13	181229	3066868115.0	16922.6123578456	465.0
104	2020-04-14	174576	2984367203.0	17094.945485060947	274.0
105	2020-04-15	180492	3419481159.0	18945.33363805598	254.0
106	2020-04-16	180064	2512861809.0	13955.381469921806	267.0
107	2020-04-17	186928	3293750815.0	17620.425056706325	353.0
108	2020-04-18	153568	2539471352.0	16536.461710773077	549.0
109	2020-04-19	155533	3039319397.0	19541.315328579785	829.0
110	2020-04-20	172523	5786638917.0	33541.2606840827	544.0
111	2020-04-21	164951	2483931691.0	15058.603409497366	263.0
112	2020-04-22	173144	4195327390.0	24230.278785288545	300.0
113	2020-04-23	170151	4242084053.0	24931.29075350718	321.0
114	2020-04-24	195272	4136535375.0	21183.45372096358	542.0
115	2020-04-25	130906	2527940284.0	19311.110904007455	603.0
116	2020-04-26	117694	2779922374.0	23619.9158325828	674.0
117	2020-04-27	133018	2111755779.0	15875.714407072726	233.0
118	2020-04-28	148309	2005436262.0	13522.013242621824	249.0
119	2020-04-29	139495	1693283693.0	12138.669436180508	198.0
120	2020-04-30	125452	1031870948.0	8225.225169786054	107.0
121	2020-05-01	118649	1158610476.0	9765.025208809177	111.0
122	2020-05-02	101282	1513047237.0	14938.95496731897	351.0
123	2020-05-03	103219	2809262568.0	27216.525717164477	583.0
124	2020-05-04	119979	2011646606.0	16766.65588144592	296.0
125	2020-05-05	140567	2028579297.0	14431.404931456174	272.0
126	2020-05-06	132628	1804467100.0	13605.476219199565	235.0
127	2020-05-07	127112	1323781357.0	10414.29099534269	222.0
128	2020-05-08	117460	2105535131.0	17925.550238379023	192.0
129	2020-05-09	105596	2610079033.0	24717.593781961437	608.0
130	2020-05-10	91307	2084620786.0	22830.89780630182	782.0
131	2020-05-11	114423	2807313137.0	24534.51785917167	407.0
132	2020-05-12	135815	3338259911.0	24579.46405772558	452.0
133	2020-05-13	130657	3182828326.0	24360.18220225476	328.0
134	2020-05-14	133545	3512841514.0	26304.552877307277	341.0
135	2020-05-15	119285	1930419493.0	16183.254332061868	227.0
136	2020-05-16	87279	1676680953.0	19210.58849207713	320.0
137	2020-05-17	84675	2219183103.0	26208.24449955713	495.0
138	2020-05-18	107068	4213883953.0	39357.08104195465	354.5
139	2020-05-19	114764	3340479439.0	29107.38070300791	354.0
140	2020-05-20	104067	2149144053.0	20651.542304476923	225.0
141	2020-05-21	109395	2009838761.0	18372.309164038576	250.0
142	2020-05-22	97353	1774748503.0	18230.03403079515	235.0
143	2020-05-23	83737	1494370996.0	17846.005899423195	558.0
144	2020-05-24	85600	3402585793.0	39749.83403037383	829.0
145	2020-05-25	80412	2827451540.0	35162.05964283938	799.0
146	2020-05-26	84969	1970017210.0	23185.128811684262	286.0
147	2020-05-27	95424	4500788310.0	47166.208815392354	382.0
148	2020-05-28	97867	3501979201.0	35783.04434589801	410.0
149	2020-05-29	77634	2529387012.0	32580.91830898833	287.0
150	2020-05-30	61302	3985181469.0	65008.99593814231	680.5
151	2020-05-31	64486	6115165775.0	94829.3548212015	2151.0
152	2020-06-01	61119	3801174252.0	62193.00466303441	602.0
153	2020-06-02	56264	3910594868.0	69504.38767240154	624.5
154	2020-06-03	63600	5554648508.0	87337.2406918239	735.0
155	2020-06-04	54677	2666959729.0	48776.628728715914	204.0
156	2020-06-05	63635	2477183647.0	38928.00576726644	441.0
157	2020-06-06	53374	5960964664.0	111682.92921647245	1266.0
158	2020-06-07	44357	2900468336.0	65389.190792885	1039.0
159	2020-06-08	49578	1863665078.0	37590.56593650409	212.0
160	2020-06-09	52985	2238741505.0	42252.36397093517	200.0
161	2020-06-10	53034	1720623864.0	32443.788211336123	159.0
162	2020-06-11	65812	2003095497.0	30436.630052270102	351.0
163	2020-06-12	73913	2712015488.0	36691.99583293872	680.0
164	2020-06-13	60254	2834845629.0	47048.25619875859	1641.0
165	2020-06-14	55552	4513671034.0	81251.2786938364	2516.0
166	2020-06-15	76154	4315484739.0	56667.866940672844	1331.0
167	2020-06-16	77048	2048790588.0	26591.0937078185	498.0
168	2020-06-17	83872	2902910888.0	34611.203834414344	671.0
169	2020-06-18	73597	2904685561.0	39467.44515401443	385.0
170	2020-06-19	82265	5308284233.0	64526.64235093904	686.0
171	2020-06-20	74753	5030167796.0	67290.51403957032	1242.0
172	2020-06-21	70080	5100391504.0	72779.5591324201	2997.0
173	2020-06-22	75196	4218633462.0	56101.833368796215	906.5
174	2020-06-23	94779	5068835646.0	53480.57740638749	959.0
175	2020-06-24	95453	3834931858.0	40176.12707824793	720.0
176	2020-06-25	113672	4770706257.0	41969.05356640158	877.0
177	2020-06-26	128282	9498922685.0	74047.19824293353	1174.0
178	2020-06-27	94926	5070342520.0	53413.632935128415	1362.0
179	2020-06-28	86312	9032999092.0	104655.19385485216	2463.5
180	2020-06-29	90039	6768492735.0	75172.89991003898	971.0
181	2020-06-30	100546	5642430844.0	56117.90468044477	697.0
182	2020-07-01	95855	3311186637.0	34543.702853267954	460.0
183	2020-07-02	106795	4194578895.0	39276.92209373098	623.0
184	2020-07-03	94769	4410439600.0	46538.84287055894	1037.0
185	2020-07-04	76223	3748920329.0	49183.5840756727	1752.0
186	2020-07-05	65148	3939955950.0	60477.005433781545	1929.0
187	2020-07-06	106224	5166381572.0	48636.66941557464	1686.5
188	2020-07-07	124303	5213631778.0	41942.92799047489	1470.0
189	2020-07-08	117373	4813703961.0	41012.02117181975	965.0
190	2020-07-09	102050	4240614521.0	41554.282420382166	656.0
191	2020-07-10	94755	2717487013.0	28679.08831196243	457.0
192	2020-07-11	78206	2373617988.0	30350.842492903357	714.0
193	2020-07-12	92983	2795140226.0	30060.76622608434	1594.0
194	2020-07-13	129178	5242671964.0	40584.867113595195	1891.0
195	2020-07-14	121313	3568878419.0	29418.76319108422	894.0
196	2020-07-15	126203	5176745395.0	41019.19443277894	1108.0
197	2020-07-16	127737	5817674523.0	45544.16122971418	1060.0
198	2020-07-17	106764	3628779342.0	33988.79155895246	642.0
199	2020-07-18	70078	1644139092.0	23461.55843488684	668.0
200	2020-07-19	73641	2018728405.0	27413.10418109477	995.0
201	2020-07-20	89906	3312941136.0	36848.94374124085	755.0
202	2020-07-21	89352	2615700254.0	29274.109745724774	495.0
203	2020-07-22	87933	2612918543.0	29714.879999545108	407.0
204	2020-07-23	81531	2156262769.0	26447.15223657259	298.0
205	2020-07-24	82253	2663656525.0	32383.70059450719	415.0
206	2020-07-25	74720	5191136282.0	69474.52197537474	1597.0
207	2020-07-26	62725	2133366384.0	34011.42102829813	1088.0
208	2020-07-27	91707	2697598759.0	29415.407318961476	674.0
209	2020-07-28	122645	3594717417.0	29309.938578825066	1225.0
210	2020-07-29	105016	2228087029.0	21216.64345433077	727.0
211	2020-07-30	115800	3758807906.0	32459.48105354059	826.0
212	2020-07-31	101025	3797364993.0	37588.36914625093	856.0
213	2020-08-01	78247	2291508945.0	29285.582130944316	1128.0
214	2020-08-02	78932	2656366606.0	33653.8616277302	1443.5
215	2020-08-03	86976	2582443109.0	29691.444869849154	653.0
216	2020-08-04	84898	2156548422.0	25401.63987373083	436.0
217	2020-08-05	77529	1867931627.0	24093.328006294418	321.0
218	2020-08-06	83615	2019199184.0	24148.76737427495	396.0
219	2020-08-07	80785	2100536846.0	26001.570167729158	425.0
220	2020-08-08	66132	2172260750.0	32847.34697272122	887.0
221	2020-08-09	68135	2295579119.0	33691.62866368239	1514.0
222	2020-08-10	89004	3685251053.0	41405.45428295358	1052.0
223	2020-08-11	82816	2669689326.0	32236.395454984544	588.0
224	2020-08-12	59044	1110990983.0	18816.323131901634	169.0
225	2020-08-13	72577	1454246597.0	20037.29276492553	330.0
226	2020-08-14	68531	1794665246.0	26187.641301017058	413.0
227	2020-08-15	45708	1012410927.0	22149.534589131006	506.0
228	2020-08-16	27958	853437123.0	30525.685778668	476.0
229	2020-08-17	34019	700624871.0	20595.10482377495	96.0
230	2020-08-18	41242	808928353.0	19614.188278938946	148.0
231	2020-08-19	56267	1339622432.0	23808.314500506513	179.0
232	2020-08-20	52723	1094321988.0	20756.06448798437	162.0
233	2020-08-21	51131	1402974882.0	27438.831276525005	213.0
234	2020-08-22	47480	1147789984.0	24174.178264532435	564.0
235	2020-08-23	55517	1460633476.0	26309.661473062304	1040.0
236	2020-08-24	57951	1360234803.0	23472.154112957498	430.0
237	2020-08-25	54889	1187125451.0	21627.74783654284	200.0
238	2020-08-26	57768	1700659665.0	29439.476267137514	320.0
239	2020-08-27	60665	2086461276.0	34393.16370229951	494.0
240	2020-08-28	66887	2096250532.0	31340.17868943143	742.0
241	2020-08-29	42644	1266946361.0	29709.83868774036	464.0
242	2020-08-30	43736	1034914282.0	23662.75567038595	639.0
243	2020-08-31	58435	1442572384.0	24686.786754513563	486.0
244	2020-09-01	60133	2149676420.0	35748.6973874578	442.0
245	2020-09-02	67903	2018255619.0	29722.62814603184	552.0
246	2020-09-03	70331	1630893871.0	23188.833814391946	637.0
247	2020-09-04	48856	1212831637.0	24824.62004666776	285.0
248	2020-09-05	38840	2117078118.0	54507.67554067971	537.0
249	2020-09-06	32739	1215311242.0	37121.20840587678	415.0
250	2020-09-07	40981	1629999519.0	39774.5179229399	645.0
251	2020-09-08	52125	1564957201.0	30023.159731414868	407.0
252	2020-09-09	94976	2290979369.0	24121.666199882075	1691.0
253	2020-09-10	103536	2632012013.0	25421.22559303044	1991.0
254	2020-09-11	71792	1813358968.0	25258.510251838645	897.0
255	2020-09-12	52833	1829518168.0	34628.32260140443	1036.0
256	2020-09-13	48569	1149333705.0	23663.93594679734	957.0
257	2020-09-14	58868	1742912347.0	29607.126911055242	794.0
258	2020-09-15	60271	1967328244.0	32641.37386139271	655.0
259	2020-09-16	80191	2191073987.0	27323.19071965682	1254.0
260	2020-09-17	82325	2213383515.0	26885.921834193745	1244.0
261	2020-09-18	68775	1342839585.0	19525.112104689204	836.0
262	2020-09-19	26283	603631812.0	22966.625271087774	259.0
263	2020-09-20	31558	1380174752.0	43734.54439444832	926.0
264	2020-09-21	50443	2609746948.0	51736.55309953809	635.0
265	2020-09-22	67815	2801405626.0	41309.52777409128	947.0
266	2020-09-23	64683	2403399530.0	37156.5872022015	900.0
267	2020-09-24	49696	2612542734.0	52570.48321796523	518.0
268	2020-09-25	46839	1422980981.0	30380.259634065627	335.0
269	2020-09-26	40269	952827959.0	23661.574883905734	708.0
270	2020-09-27	32105	498704026.0	15533.531412552562	533.0
271	2020-09-28	34533	581182065.0	16829.758926244464	195.0
272	2020-09-29	45909	721143138.0	15708.099457622688	199.0
273	2020-09-30	54027	1498383847.0	27733.982027504768	338.0
